phase,action_type,edge
middle,do,"('K35.80', 'U07.1')"
middle,do,"('K35.80', 'G43.9')"
middle,do,"('K35.80', 'F80.9')"
middle,do,"('K35.80', 'G40.9')"
middle,do,"('K35.80', 'K35.80')"
middle,do,"('F80.9', 'B20')"
middle,do,"('F80.9', 'T14.91')"
middle,do,"('F80.9', 'G43.9')"
middle,do,"('F80.9', 'S06.0X0A')"
middle,do,"('F80.9', 'M54.5')"
middle,do,"('F80.9', 'K21.9')"
middle,do,"('F80.9', 'I21.9')"
middle,do,"('G40.9', 'Q21.1')"
middle,do,"('G40.9', 'K21.9')"
middle,do,"('G40.9', 'M54.5')"
middle,do,"('G40.9', 'G43.9')"
middle,do,"('G40.9', 'U07.1')"
middle,do,"('G40.9', 'B20')"
middle,do,"('G40.9', 'I21.9')"
middle,do,"('G40.9', 'Z51.11')"
middle,do,"('S06.0X0A', 'U07.1')"
middle,do,"('S06.0X0A', 'Z51.11')"
middle,do,"('S06.0X0A', 'Q21.1')"
middle,do,"('S06.0X0A', 'B20')"
middle,do,"('S06.0X0A', 'S06.0X0A')"
middle,do,"('S06.0X0A', 'I21.9')"
middle,do,"('U07.1', 'T14.91')"
middle,do,"('U07.1', 'Z51.11')"
middle,do,"('U07.1', 'Q21.1')"
middle,do,"('U07.1', 'K21.9')"
middle,do,"('U07.1', 'U07.1')"
middle,do,"('L03.90', 'Q21.1')"
middle,do,"('L03.90', 'M54.5')"
middle,do,"('L03.90', 'B20')"
middle,do,"('Z51.11', 'K21.9')"
middle,do,"('Z51.11', 'I21.9')"
middle,do,"('Z51.11', 'M54.5')"
middle,do,"('Z51.11', 'B20')"
middle,do,"('Z51.11', 'T14.91')"
middle,do,"('Z51.11', 'G43.9')"
middle,do,"('Z51.11', 'Z51.11')"
middle,do,"('K21.9', 'I21.9')"
middle,do,"('K21.9', 'G43.9')"
middle,do,"('I21.9', 'M54.5')"
middle,do,"('I21.9', 'Q21.1')"
middle,do,"('T14.91', 'G43.9')"
middle,do,"('Q21.1', 'M54.5')"
middle,do,"('Q21.1', 'Q21.1')"
middle,do,"('G43.9', 'M54.5')"
late,do,"('J45.9', 'R07.9')"
late,do,"('J45.9', 'P07.30')"
late,do,"('J45.9', 'F80.9')"
late,do,"('J45.9', 'G40.9')"
late,do,"('J45.9', 'S06.0X0A')"
